title,url,description,author,scraped_at,source
"Field Report: Can $1,000 Of Neck Pillows Fix Neck Pain & Improve Sleep?",https://www.wired.com/video/watch/field-report-can-1000-dollars-of-neck-pillows-fix-neck-pain-and-improve-sleep,,By Unknown,2026-04-22T11:06:07.251625,Wired.com
Harvard Professor Answers Iran War Questions,https://www.wired.com/video/series/tech-support,,By Unknown,2026-04-22T11:06:07.849856,Wired.com
Harvard Professor Answers Iran War Questions,https://www.wired.com/video/watch/tech-support-iran-war,,By Unknown,2026-04-22T11:06:08.335890,Wired.com
NASA Astronaut Films Stunning ‘Earthset’ On iPhone During Artemis II Mission,https://www.wired.com/video/watch/nasa-astronaut-films-stunning-earthset-on-iphone-during-artemis-ii-mission,,By Unknown,2026-04-22T11:06:08.457496,Wired.com
Humanoid Robot Wins Beijing Half Marathon In New ‘World Record’ Time,https://www.wired.com/video/watch/humanoid-robot-wins-beijing-half-marathon-in-new-world-record-time,,By Unknown,2026-04-22T11:06:09.030051,Wired.com
FINNEAS Answers The Internet's Best Questions,https://www.wired.com/video/series/the-complete-interview,,By Unknown,2026-04-22T11:06:09.577700,Wired.com
FINNEAS Answers The Internet's Best Questions,https://www.wired.com/video/watch/the-complete-interview-finneas,,By Unknown,2026-04-22T11:06:10.071576,Wired.com
Reid Hoffman: Not Using Frontier AI Models As A Second Opinion Borders On Malpractice,https://www.wired.com/video/watch/reid-hoffman-not-using-frontier-ai-models-as-a-second-opinion-borders-on-malpractice,,By Unknown,2026-04-22T11:06:10.178224,Wired.com
Crypto Skeptic Ben McKenzie Reads Mean Tweets at Our First WIRED@Night Live Event,https://www.wired.com/video/watch/crypto-skeptic-ben-mckenzie-reads-mean-tweets-at-our-first-wired-at-night-live-event,,By Unknown,2026-04-22T11:06:10.697496,Wired.com
The Most WIRED Watches at Watches and Wonders 2026,https://www.wired.com/video/watch/the-most-wired-watches-at-watches-and-wonders-2026,,By Unknown,2026-04-22T11:06:11.219529,Wired.com
NASA Wants To Put Nuclear Reactors On The Moon,https://www.wired.com/video/watch/nasa-wants-to-put-nuclear-reactors-on-the-moon,,By Unknown,2026-04-22T11:06:11.743106,Wired.com
"I Test Hundreds Of Laptops, And This Is My Honest Advice On What Laptop To Buy",https://www.wired.com/video/watch/i-test-hundreds-of-laptops-and-this-is-my-honest-advice-on-what-laptop-to-buy,,By Unknown,2026-04-22T11:06:12.317438,Wired.com
How to Watch the Lyrids Meteor Shower at Its Peak,https://www.wired.com/story/how-to-watch-the-lyrids-meteor-shower-at-its-peak-2026/,"Between the night of April 21 and the early morning of April 22, those looking in the right place will see the sky light up with 15 to 20 meteors per hour.",ByJORGE GARAY,2026-04-22T11:06:47.271401,Wired.com
There’s New Evidence for How Loneliness Affects Memory in Old Age,https://www.wired.com/story/theres-new-evidence-for-how-loneliness-affects-memory-in-old-age/,,ByJORGE GARAY,2026-04-22T11:06:48.011957,Wired.com
The ‘Lonely Runner’ Problem Only Appears Simple,https://www.wired.com/story/the-lonely-runner-problem-only-appears-simple/,,ByPAULINA ROWIŃSKA,2026-04-22T11:06:48.794848,Wired.com
Flight Path Data Shows How Mosquitoes Target Humans,https://www.wired.com/story/flight-path-data-shows-how-mosquitoes-target-humans/,"Scientists have quantified what draws mosquitoes to people—which could help make better, life-saving bug traps.",ByRITSUKO KAWAI,2026-04-22T11:06:49.508554,Wired.com
Scientists Have Made a French Fry Breakthrough,https://www.wired.com/story/scientists-have-made-french-fry-breakthrough/,Researchers have developed a method of making french fries that results in a healthier bite without sacrificing crispiness.,ByMARTA MUSSO,2026-04-22T11:06:50.238392,Wired.com
What Happens When a Nuclear Site Is Hit?,https://www.wired.com/story/heres-what-can-happen-when-the-us-bombs-irans-nuclear-sites/,"As strikes continue on Iran’s nuclear facilities, the real danger isn’t the explosion, but what happens if critical safety systems fail—and how that risk could spread across the Gulf.",ByJETHU ABRAHAM,2026-04-22T11:06:50.914189,Wired.com
FDA Approves Eli Lilly’s GLP-1 Pill,https://www.wired.com/story/fda-approves-eli-lillys-glp-1-pill/,Eli Lilly’s once-daily Foundayo is the second obesity pill to receive FDA approval. It will compete with Novo Nordisk’s pill version of Wegovy.,ByEMILY MULLIN,2026-04-22T11:06:51.637683,Wired.com
"6,000 Meters Under the Pacific, Japan Seeks Independence From China on Rare Earths",https://www.wired.com/story/under-the-pacific-japan-seeks-independence-from-china-on-rare-earths/,"Tokyo is succeeding where the rest of the world has failed, reducing its reliance on Beijing for crucial rare earth elements—thanks to an enormous underwater deposit discovered on a remote island.",ByLORENZO LAMPERTI,2026-04-22T11:06:52.368455,Wired.com
Marine Animals in the Strait of Hormuz Don’t Get a Ceasefire,https://www.wired.com/story/marine-animals-in-the-strait-of-hormuz-dont-get-a-ceasefire/,"As ships return to the Strait of Hormuz, mines, sonar, and congestion continue to reshape the Gulf beneath the surface.",ByEVANGELINE ELSA,2026-04-22T11:06:53.042674,Wired.com
Trump’s War on Iran Could Screw Over US Farmers,https://www.wired.com/story/trumps-war-on-iran-could-screw-over-us-farmers/,The Middle East supplies a huge amount of the world’s fertilizer. Conflict in the region has sent prices soaring ahead of the critical spring planting season.,ByMOLLY TAFT,2026-04-22T11:06:53.766690,Wired.com
The Last Mystery of Antarctica’s ‘Blood Falls’ Has Finally Been Solved,https://www.wired.com/story/the-last-mystery-of-antarcticas-blood-falls-has-finally-been-solved/,New research sheds light on what drives reddish water to emerge from underground to pour onto the Taylor Glacier.,BySIMONE VALESINI,2026-04-22T11:06:54.488562,Wired.com
The US Government Will Ask Data Centers How Much Power They Use,https://www.wired.com/story/the-us-government-to-ask-data-centers-how-much-power-they-use/,"In a letter obtained by WIRED, the Energy Information Administration tells two senators that it plans to develop a mandatory assessment of data centers' energy use.",ByMOLLY TAFT,2026-04-22T11:06:55.196981,Wired.com
There’s a Secret Ingredient to Making Luxury Ice at Home,https://www.wired.com/story/secret-ingredient-to-making-luxury-ice-at-home/,"Nice ice is big business, but you can get perfectly clear cubes at home without freezing your assets.",ByJEREMY WHITE,2026-04-22T11:06:55.898110,Wired.com
A Single Strike Won’t Shut Off the Gulf’s Desalination System,https://www.wired.com/story/a-single-strike-wont-shut-off-the-gulfs-desalination-system/,"The Gulf’s water system is built with layers of backup, but it relies on continuous operation to hold.",ByDANA ALOMAR,2026-04-22T11:06:56.559489,Wired.com
A New Google-Funded Data Center Will Be Powered by a Massive Gas Plant,https://www.wired.com/story/a-new-google-funded-data-center-will-be-powered-by-a-massive-gas-plant/,Documents show that one of Google’s new data centers would be powered by a natural gas plant that emits millions of tons of emissions each year—an increasingly common trend in the industry.,ByMOLLY TAFT,2026-04-22T11:06:57.351112,Wired.com
"One Way or Another, Most of Our Electricity Comes From Solar Power",https://www.wired.com/story/most-of-our-electricity-comes-from-solar-power/,"That’s good news, since the forecast is sunshine for the next 5 billion years.",ByRHETT ALLAIN,2026-04-22T11:06:58.015108,Wired.com
Senators Demand to Know How Much Energy Data Centers Use,https://www.wired.com/story/senators-demand-to-know-how-much-energy-data-centers-use/,"In a letter sent Thursday morning, Elizabeth Warren and Josh Hawley press the Energy Information Agency to mandate annual electricity disclosure for data centers.",ByMOLLY TAFT,2026-04-22T11:06:58.706390,Wired.com
The AI Race Is Pressuring Utilities to Squeeze More From Europe’s Power Grids,https://www.wired.com/story/europe-squeeze-power-energy-grid-ai-data-center/,"As data center developers queue up to connect to power grids across Europe, network operators are experimenting with novel ways of clearing room for them.",ByJOEL KHALILI,2026-04-22T11:06:59.420385,Wired.com
Iran War Puts Global Energy Markets on the Brink of a Worst-Case Scenario,https://www.wired.com/story/iran-war-puts-global-energy-markets-on-the-brink-of-a-worst-case-scenario/,"“This will be so, so, so, so, so bad,” one analyst says.",ByMOLLY TAFT,2026-04-22T11:07:00.165415,Wired.com
How Can Astronauts Tell How Fast They’re Going?,https://www.wired.com/story/how-can-astronauts-tell-how-fast-theyre-going/,"Weirdly, spaceships have no direct way to gauge their own speed. Luckily, we can use some physics tricks to figure it out.",ByRHETT ALLAIN,2026-04-22T11:07:00.926092,Wired.com
NASA Wants to Put Nuclear Reactors on the Moon,https://www.wired.com/story/nasa-wants-to-put-nuclear-reactors-on-the-moon/,The White House has announced that NASA will work with the Departments of Defense and Energy to put nuclear reactors in orbit and on the surface of the moon.,ByJORGE GARAY,2026-04-22T11:07:01.595137,Wired.com
"The Caves That Could Help Us Find, or Become, Aliens",https://www.wired.com/story/the-caves-that-could-help-us-find-or-become-aliens/,"From lava tubes on Mars to ice pockets on Europa, subterranean environments may offer the best chance of finding life—and living safely—beyond our planet.",ByBECKY FERREIRA,2026-04-22T11:07:02.324172,Wired.com
Artemis II Returns Safely to Earth After Historic Flight Around the Moon,https://www.wired.com/story/artemis-ii-returns-from-historic-flight-around-the-moon/,"After traveling a greater distance from Earth than any humans before them, the astronauts of Artemis II have safely returned home.",ByJAY BENNETT,2026-04-22T11:07:03.035767,Wired.com
A Quantum Leap for the Turing Award,https://www.wired.com/story/a-quantum-leap-for-the-turing-award/,Charles Bennett and Gilles Brassard pioneered quantum information theory. Now they’ve been awarded the highest honor in computer science.,BySTEVEN LEVY,2026-04-22T11:07:03.718896,Wired.com
You Can Approximate Pi by Dropping Needles on the Floor,https://www.wired.com/story/you-can-approximate-pi-by-dropping-needles-on-the-floor/,Who needs a supercomputer when you can calculate pi with a box of sewing needles?,ByRHETT ALLAIN,2026-04-22T11:07:04.449931,Wired.com
How Can a Locomotive Pull a Long Train That’s Much Heavier?,https://www.wired.com/story/how-can-a-locomotive-pull-a-train-thats-much-heavier/,"For railroads, it’s all about managing static and kinetic friction.",ByRHETT ALLAIN,2026-04-22T11:07:05.102847,Wired.com
Could AI Data Centers Be Moved to Outer Space?,https://www.wired.com/story/could-we-put-ai-data-centers-in-space/,Massive data centers for generative AI are bad for the Earth. How about launching them into orbit?,ByRHETT ALLAIN,2026-04-22T11:07:05.862646,Wired.com
This Beanie Is Designed to Read Your Thoughts,https://www.wired.com/story/this-beanie-is-designed-to-read-your-thoughts/,California-based startup Sabi is developing a thought-to-text wearable that could usher in the cyborg future.,ByEMILY MULLIN,2026-04-22T11:07:06.523721,Wired.com
A New Implant Aims to Rewire the Brain to Help Stroke Patients,https://www.wired.com/story/a-new-implant-aims-to-rewire-the-brain-to-help-stroke-patients/,Epia Neuro’s brain-computer interface will include a motorized glove to help stroke patients recover movement in their hand.,ByEMILY MULLIN,2026-04-22T11:07:07.209739,Wired.com
Meet the Man Making Music With His Brain Implant,https://www.wired.com/story/meet-the-man-making-music-with-his-brain-implant/,Galen Buckwalter says brain-computer interfaces will have to be enjoyable to use if the technology is going to be successful.,ByEMILY MULLIN,2026-04-22T11:07:07.894270,Wired.com
A Billionaire-Backed Startup Wants to Grow 'Organ Sacks' to Replace Animal Testing,https://www.wired.com/story/a-billionaire-backed-startup-wants-to-grow-organ-sacks-to-replace-animal-testing/,"R3 Bio has a bold idea for replacing lab animals: genetically-engineered whole organ systems that lack a brain. The long-term goal, says a cofounder, is to make human versions.",ByEMILY MULLIN,2026-04-22T11:07:08.676542,Wired.com
Study of Buddhist Monks Finds Meditation Alters Brain Activity,https://www.wired.com/story/study-of-buddhist-monks-finds-meditation-alters-brain-activity/,"Meditation isn’t thinking about nothing. New research reinforces that it’s a mind-altering, dynamic state that promotes focus, learning, and well-being.",ByJAVIER CARBAJAL,2026-04-22T11:07:09.450434,Wired.com
A Brain Mechanism Explains Why People Leave Certain Tasks for Later,https://www.wired.com/story/neuroscience-procrastination-brain-mechanism-task-avoidance/,New research has discovered that a neural circuit may explain procrastination. Scientists were able to disrupt this connection using a drug.,ByFERNANDA GONZÁLEZ,2026-04-22T11:07:10.102221,Wired.com
Brain Gear Is the Hot New Wearable,https://www.wired.com/story/expired-tired-wired-wearables/,"Smartwatches are cool and all, but have you considered wearable neurotech?",ByEMILY MULLIN,2026-04-22T11:07:10.888814,Wired.com
AI’s Next Frontier? An Algorithm for Consciousness,https://www.wired.com/story/ai-sentient-consciousness-algorithm/,Some of the world’s most interesting thinkers about thinking think they might’ve cracked machine sentience. And I think they might be onto something.,ByWILL KNIGHT,2026-04-22T11:07:11.668007,Wired.com
Dark Matter May Be Made of Black Holes From Another Universe,https://www.wired.com/story/dark-matter-may-be-made-of-black-holes-from-another-universe/,,ByJORGE GARAY,2026-04-22T11:07:12.402353,Wired.com
You Should Be More Freaked Out by Shingles,https://www.wired.com/story/shingles-is-a-bigger-deal-than-you-think/,,ByROSIE TAYLOR,2026-04-22T11:07:13.155547,Wired.com
The Future of the Artemis Program Is Riding on Reentry,https://www.wired.com/story/the-future-of-the-artemis-program-is-riding-on-reentry/,,ByJORGE GARAY,2026-04-22T11:07:13.921245,Wired.com
No One Knows Where US Vaccine Policy Goes Next,https://www.wired.com/story/no-one-knows-where-us-vaccine-policy-goes-next/,,ByEMILY MULLIN,2026-04-22T11:07:14.770427,Wired.com
How and When to Watch the Artemis II Mission’s Return to Earth,https://www.wired.com/story/how-and-when-to-watch-the-artemis-ii-missions-return-to-earth/,,ByJORGE GARAY,2026-04-22T11:07:15.540979,Wired.com
Artemis II Astronauts Witnessed 6 Meteorites Colliding With the Moon,https://www.wired.com/story/artemis-ii-astronauts-witnessed-6-meteorites-collide-with-the-moon/,,ByJORGE GARAY,2026-04-22T11:07:16.294110,Wired.com
Artemis II’s Breathtaking View of the Far Side of the Moon,https://www.wired.com/story/artemis-iis-breathtaking-view-of-the-far-side-of-the-moon/,,ByJORGE GARAY,2026-04-22T11:07:17.052324,Wired.com
Artemis II: Everything We Know as Its Crew Approaches the Far Side of the Moon,https://www.wired.com/story/artemis-ii-everything-we-know-as-orion-approaches-the-far-side-of-the-moon/,,ByJAVIER CARBAJAL,2026-04-22T11:07:17.847128,Wired.com
5 Mysteries That the Artemis Missions to the Moon Could Finally Solve,https://www.wired.com/story/5-mysteries-that-the-artemis-missions-to-the-moon-could-finally-solve/,,ByJORGE GARAY,2026-04-22T11:07:18.534231,Wired.com
The Trajectory of the Artemis II Moon Mission Is a Feat of Engineering,https://www.wired.com/story/the-trajectory-of-the-artemis-ii-moon-mission-is-a-feat-of-engineering/,,ByLUCA NARDI,2026-04-22T11:07:19.272392,Wired.com
Artemis II Mission Launches Successfully,https://www.wired.com/story/artemis-ii-moon-mission-launches-successfully/,,ByJORGE GARAY,2026-04-22T11:07:20.035730,Wired.com
These Are the 4 Artemis II Astronauts Leading the Historic Return to the Moon,https://www.wired.com/story/these-are-the-4-artemis-ii-astronauts-leading-the-historic-return-to-the-moon/,,ByFERNANDA GONZÁLEZ,2026-04-22T11:07:20.760114,Wired.com
The US Military’s GPS Software Is an $8 Billion Mess,https://www.wired.com/story/the-us-militarys-gps-software-is-an-8-billion-mess/,,"BySTEPHEN CLARK, ARS TECHNICA",2026-04-22T11:07:21.500412,Wired.com
The Ghosts of Al-Shifa Hospital,https://www.wired.com/story/gaza-war-al-shifa-hospital-ghosts/,,BySPENCER ACKERMAN,2026-04-22T11:07:22.187812,Wired.com
The Trip to the Far Side of the Moon,https://www.wired.com/story/the-trip-to-the-far-side-of-the-moon-nasa-artemis/,,ByJAY BENNETT,2026-04-22T11:07:22.940990,Wired.com
China Approves the First Brain Chips for Sale—and Has a Plan to Dominate the Industry,https://www.wired.com/story/china-approves-first-brain-chips-for-sale-plan-to-dominate-industry/,,ByJORGE GARAY,2026-04-22T11:07:23.665793,Wired.com
Get Ready for a Year of Chaotic Weather in the US,https://www.wired.com/story/get-ready-for-a-year-of-chaotic-weather-in-the-us/,,ByMOLLY TAFT,2026-04-22T11:07:24.425082,Wired.com
A New Study Details How Cats Almost Always Land on Their Feet,https://www.wired.com/story/a-new-study-details-how-cats-almost-always-land-on-their-feet/,,ByMARTA MUSSO,2026-04-22T11:07:25.160168,Wired.com
Japan Approves the World’s First Treatment Made With Reprogrammed Human Cells,https://www.wired.com/story/japan-approves-the-worlds-first-treatment-made-with-reprogrammed-human-cells/,,ByRITSUKO KAWAI,2026-04-22T11:07:25.841260,Wired.com
The Shingles Virus May Be Aging You More Quickly,https://www.wired.com/story/shingles-virus-aging/,,ByDAVID COX,2026-04-22T11:07:26.626757,Wired.com
